Omega,A1_analytical,A2_analytical
0.6331663326653307,1.0269589147965457,0.6422104064838924
0.6391583166332666,1.0382821049203301,0.6524017222296188
0.6451503006012025,1.0500002802755979,0.6629705880110787
0.6511422845691384,1.062133216243323,0.6739365268392434
0.6571342685370742,1.0747020685234137,0.6853204360376581
0.6631262525050101,1.0877294956396426,0.6971447095837959
0.669118236472946,1.1012397947507646,0.7094333737509917
0.6751102204408819,1.1152590524853603,0.7222122377682789
0.6811022044088177,1.1298153127761592,0.7355090614736464
0.6870941883767536,1.144938763972217,0.7493537422388538
0.6930861723446895,1.1606619478632054,0.7637785237998034
0.6990781563126254,1.1770199936696397,0.7788182300460369
0.7050701402805611,1.1940508805492562,0.7945105273192854
0.711062124248497,1.2117957327586835,0.8108962193599288
0.7170541082164329,1.2302991523107971,0.8280195797414532
