r/r_min,V(r),F(r)
0.9237237237237238,-0.6282547453577871,-12.74997342018202
0.924924924924925,-0.6433442509495992,-12.375435174283878
0.9261261261261262,-0.6579888049552727,-12.009099854591508
0.9273273273273274,-0.6721981563644017,-11.650794305154667
0.9285285285285285,-0.6859818484203308,-11.300349100325242
0.9297297297297298,-0.6993492230506266,-10.957598461221226
0.9309309309309309,-0.7123094251983821,-10.622380174147738
0.9321321321321322,-0.724871407056694,-10.29453551092638
0.9333333333333333,-0.7370439322085485,-9.97390915108704
0.9345345345345346,-0.7488355796743424,-9.660349105875953
0.9357357357357358,-0.7602547478691957,-9.35370664403573
0.9369369369369369,-0.7713096584721524,-9.053836219314023
0.9381381381381382,-0.7820083602093177,-8.760595399658897
0.9393393393393394,-0.7923587325529402,-8.47384479805953
0.9405405405405406,-0.8023684893383858,-8.193448004992337
